"date","Series","Value","lbl","plbl","nlbl"
2022-11-01,"First",1.12160308598988,,,
2022-12-01,"First",1.02918965378941,,,
2023-01-01,"First",1.14244514489889,,,
2023-02-01,"First",1.2141153154119,,,
2023-03-01,"First",1.18627427161777,,,
2023-04-01,"First",1.06763734325047,,,
2023-05-01,"First",1.00012140111831,,,
2023-06-01,"First",0.927171935435922,,,
2023-07-01,"First",0.711228466523706,,,
2023-08-01,"First",0.524324430163275,,,
2023-09-01,"First",0.573675810586044,,,
2023-10-01,"First",0.585346922138458,,,
2023-11-01,"First",0.583302157847027,,,
2023-12-01,"First",0.454837802766234,,,
2024-01-01,"First",0.820986372815863,,,
2024-02-01,"First",0.973689510459586,,,
2024-03-01,"First",1.18136196975646,,,
2024-04-01,"First",0.904096154046807,,,
2024-05-01,"First",0.703149098693179,,,
2024-06-01,"First",0.554909301101403,,,
2024-07-01,"First",0.504206097091625,,,
2024-08-01,"First",0.616602967000784,,,
2024-09-01,"First",0.650668603699123,,,
2024-10-01,"First",0.757327326378576,,,
2024-11-01,"First",0.685717320924045,,,
2024-12-01,"First",0.600027321113467,,,
2025-01-01,"First",0.617164395335768,,,
2025-02-01,"First",0.961216941745535,,,
2025-03-01,"First",0.868067257853833,,,
2025-04-01,"First",0.74051340621677,,,
2025-05-01,"First",0.523162574659308,,,
2025-06-01,"First",0.688957956771313,,,
2025-07-01,"First",0.746715740392789,,,
2025-08-01,"First",0.742189901783108,,,
2025-09-01,"First",0.667896103091981,,,
2025-10-01,"First",0.630284890343802,"0.6","0.6",
2025-11-01,"First",0.566372940109228,"0.6","0.6",
2022-11-01,"Second",1.40741400301976,,,
2022-12-01,"Second",1.25702271107041,,,
2023-01-01,"Second",1.3956632997093,,,
2023-02-01,"Second",1.11776309032144,,,
2023-03-01,"Second",1.027230633474,,,
2023-04-01,"Second",1.14086415101003,,,
2023-05-01,"Second",1.21279916897096,,,
2023-06-01,"Second",1.18228969733065,,,
2023-07-01,"Second",1.06274129546587,,,
2023-08-01,"Second",0.991625291630699,,,
2023-09-01,"Second",0.920968837267883,,,
2023-10-01,"Second",0.704154489065606,,,
2023-11-01,"Second",0.520054074171966,,,
2023-12-01,"Second",0.569282123403286,,,
2024-01-01,"Second",0.582966724802841,,,
2024-02-01,"Second",0.58165792679904,,,
2024-03-01,"Second",0.454876740069754,,,
2024-04-01,"Second",0.819952160201898,,,
2024-05-01,"Second",0.971779519558336,,,
2024-06-01,"Second",1.17892624799742,,,
2024-07-01,"Second",0.902772624126497,,,
2024-08-01,"Second",0.70381589734933,,,
2024-09-01,"Second",0.555470242887968,,,
2024-10-01,"Second",0.505395240554163,,,
2024-11-01,"Second",0.617312172546441,,,
2024-12-01,"Second",0.651647359377289,,,
2025-01-01,"Second",0.756090449573232,,,
2025-02-01,"Second",0.685674572824291,,,
2025-03-01,"Second",0.598061946915551,,,
2025-04-01,"Second",0.616120829833355,,,
2025-05-01,"Second",0.960070231352239,,,
2025-06-01,"Second",0.868934943966743,,,
2025-07-01,"Second",0.742063534568171,,,
2025-08-01,"Second",0.523984500322727,,,
2025-09-01,"Second",0.689074827763136,,,
2025-10-01,"Second",0.745920620628504,"0.7","0.7",
2025-11-01,"Second",0.741436049248623,"0.7","0.7",
2022-11-01,"Third",1.1239909542095,,,
2022-12-01,"Third",1.31667681942408,,,
2023-01-01,"Third",1.18863949304801,,,
2023-02-01,"Third",1.40357400735132,,,
2023-03-01,"Third",1.255063690755,,,
2023-04-01,"Third",1.39408230582044,,,
2023-05-01,"Third",1.11644694388051,,,
2023-06-01,"Third",1.02324605918689,,,
2023-07-01,"Third",1.13596810322544,,,
2023-08-01,"Third",1.20430305948335,,,
2023-09-01,"Third",1.17608659916261,,,
2023-10-01,"Third",1.05566731800777,,,
2023-11-01,"Third",0.98735493563939,,,
2023-12-01,"Third",0.916575150085125,,,
2024-01-01,"Third",0.70177429172999,,,
2024-02-01,"Third",0.518409843123979,,,
2024-03-01,"Third",0.569321060706807,,,
2024-04-01,"Third",0.581932512188876,,,
2024-05-01,"Third",0.57974793589779,,,
2024-06-01,"Third",0.452441018310723,,,
2024-07-01,"Third",0.818628630281587,,,
2024-08-01,"Third",0.972446318214487,,,
2024-09-01,"Third",1.17948718978399,,,
2024-10-01,"Third",0.903961767589034,,,
2024-11-01,"Third",0.704525102894987,,,
2024-12-01,"Third",0.556448998566134,,,
2025-01-01,"Third",0.504158363748819,,,
2025-02-01,"Third",0.617269424446687,,,
2025-03-01,"Third",0.649681985179373,,,
2025-04-01,"Third",0.75504688407082,,,
2025-05-01,"Third",0.684527862430995,,,
2025-06-01,"Third",0.598929633028461,,,
2025-07-01,"Third",0.617670958184757,,,
2025-08-01,"Third",0.960892157015658,,,
2025-09-01,"Third",0.869051814958566,,,
2025-10-01,"Third",0.741268414803886,"0.7","0.7",
2025-11-01,"Third",0.523230647788242,"0.5","0.5",
2022-11-01,"Fourth",1.55508078949729,,,
2022-12-01,"Fourth",1.36399228908665,,,
2023-01-01,"Fourth",1.21091727631823,,,
2023-02-01,"Fourth",1.12015095854106,,,
2023-03-01,"Fourth",1.31471779910867,,,
2023-04-01,"Fourth",1.18705849915915,,,
2023-05-01,"Fourth",1.40225786091039,,,
2023-06-01,"Fourth",1.25107911646789,,,
2023-07-01,"Fourth",1.38918625803585,,,
2023-08-01,"Fourth",1.1079508343929,,,
2023-09-01,"Fourth",1.01704296101885,,,
2023-10-01,"Fourth",1.12889412576734,,,
2023-11-01,"Fourth",1.20003270349204,,,
2023-12-01,"Fourth",1.17169291197985,,,
2024-01-01,"Fourth",1.05328712067216,,,
2024-02-01,"Fourth",0.985710704591403,,,
2024-03-01,"Fourth",0.916614087388645,,,
2024-04-01,"Fourth",0.700740079116025,,,
2024-05-01,"Fourth",0.516499852222729,,,
2024-06-01,"Fourth",0.566885338947776,,,
2024-07-01,"Fourth",0.580608982268566,,,
2024-08-01,"Fourth",0.580414734553941,,,
2024-09-01,"Fourth",0.453001960097288,,,
2024-10-01,"Fourth",0.819817773744125,,,
2024-11-01,"Fourth",0.973155523760144,,,
2024-12-01,"Fourth",1.18046594546216,,,
2025-01-01,"Fourth",0.90272489078369,,,
2025-02-01,"Fourth",0.704482354795233,,,
2025-03-01,"Fourth",0.554483624368218,,,
2025-04-01,"Fourth",0.503114798246407,,,
2025-05-01,"Fourth",0.616122714053391,,,
2025-06-01,"Fourth",0.650549671292283,,,
2025-07-01,"Fourth",0.756597012422222,,,
2025-08-01,"Fourth",0.685349788094414,,,
2025-09-01,"Fourth",0.599046504020284,,,
2025-10-01,"Fourth",0.616875838420472,"0.6","0.6",
2025-11-01,"Fourth",0.960138304481173,"1.0","1.0",
