"date","variable","value","lbl","plbl","nlbl"
2022-11-01,"Energy and Food",1.4683333135443,,,
2022-12-01,"Energy and Food",1.16235814734617,,,
2023-01-01,"Energy and Food",1.19057539757352,,,
2023-02-01,"Energy and Food",0.942865029082452,,,
2023-03-01,"Energy and Food",0.241574282295866,,,
2023-04-01,"Energy and Food",0.277629164093204,,,
2023-05-01,"Energy and Food",-0.140517646394849,,,
2023-06-01,"Energy and Food",-0.524114996608107,,,
2023-07-01,"Energy and Food",-0.337103430349476,,,
2023-08-01,"Energy and Food",0.0837972145666721,,,
2023-09-01,"Energy and Food",0.221346568197179,,,
2023-10-01,"Energy and Food",-0.0176493248225482,,,
2023-11-01,"Energy and Food",-0.121164233974596,,,
2023-12-01,"Energy and Food",0.0277580214342118,,,
2024-01-01,"Energy and Food",-0.073974019783166,,,
2024-02-01,"Energy and Food",0.0139902665728937,,,
2024-03-01,"Energy and Food",0.173657824901959,,,
2024-04-01,"Energy and Food",0.172657844941069,,,
2024-05-01,"Energy and Food",0.209660199043628,,,
2024-06-01,"Energy and Food",0.111672633193856,,,
2024-07-01,"Energy and Food",0.108838639482274,,,
2024-08-01,"Energy and Food",-0.128715159618842,,,
2024-09-01,"Energy and Food",-0.249286650534398,,,
2024-10-01,"Energy and Food",-0.168199728572907,,,
2024-11-01,"Energy and Food",-0.053806721302342,,,
2024-12-01,"Energy and Food",0.0807390970107991,,,
2025-01-01,"Energy and Food",0.143271867240389,,,
2025-02-01,"Energy and Food",0.0809472364095035,,,
2025-03-01,"Energy and Food",-0.00571196623336909,,,
2025-04-01,"Energy and Food",-0.0390208411582774,,,
2025-05-01,"Energy and Food",-0.0126860247834332,,,
2025-06-01,"Energy and Food",0.100635608693074,,,
2025-07-01,"Energy and Food",0.0616594034111799,,,
2025-08-01,"Energy and Food",0.158957825968752,,,
2025-09-01,"Energy and Food",0.278243736879592,,,
2025-10-01,"Energy and Food",0.245907246722427,"0.2","0.2",
2025-11-01,"Energy and Food",0.28743485795459,"0.3","0.3",
2026-04-01,"Energy and Food",0.0720521072378899,,"0.1",
2022-11-01,"Core Goods",0.91961505990029,,,
2022-12-01,"Core Goods",0.735669463280841,,,
2023-01-01,"Core Goods",0.628662180840988,,,
2023-02-01,"Core Goods",0.529480149420907,,,
2023-03-01,"Core Goods",0.579570436819496,,,
2023-04-01,"Core Goods",0.580838367103035,,,
2023-05-01,"Core Goods",0.570556923995861,,,
2023-06-01,"Core Goods",0.385285881072096,,,
2023-07-01,"Core Goods",0.268053857942306,,,
2023-08-01,"Core Goods",0.127412381167371,,,
2023-09-01,"Core Goods",0.0524581824809871,,,
2023-10-01,"Core Goods",0.086177479979727,,,
2023-11-01,"Core Goods",0.0498178460927104,,,
2023-12-01,"Core Goods",-0.00837946364277088,,,
2024-01-01,"Core Goods",-0.118952295365356,,,
2024-02-01,"Core Goods",-0.0895625791662216,,,
2024-03-01,"Core Goods",-0.111647751313588,,,
2024-04-01,"Core Goods",-0.116330991349436,,,
2024-05-01,"Core Goods",-0.229310709984874,,,
2024-06-01,"Core Goods",-0.177844327162232,,,
2024-07-01,"Core Goods",-0.0927879030778307,,,
2024-08-01,"Core Goods",-0.105424230762194,,,
2024-09-01,"Core Goods",-0.0744113589362227,,,
2024-10-01,"Core Goods",-0.0960759224238598,,,
2024-11-01,"Core Goods",-0.0409558697623309,,,
2024-12-01,"Core Goods",-0.0449956712817296,,,
2025-01-01,"Core Goods",0.050555004875189,,,
2025-02-01,"Core Goods",0.0719098529024237,,,
2025-03-01,"Core Goods",-0.00801998513469784,,,
2025-04-01,"Core Goods",0.0423157620124084,,,
2025-05-01,"Core Goods",0.141464958107696,,,
2025-06-01,"Core Goods",0.216465686992933,,,
2025-07-01,"Core Goods",0.230136600334958,,,
2025-08-01,"Core Goods",0.232807964886376,,,
2025-09-01,"Core Goods",0.263965657430172,,,
2025-10-01,"Core Goods",0.251002215604698,"0.3","0.3",
2025-11-01,"Core Goods",0.27662204648961,"0.3","0.3",
2026-04-01,"Core Goods",-0.135618527015437,,,"-0.1"
2022-11-01,"Core Services exc. Housing",2.54019541802173,,,
2022-12-01,"Core Services exc. Housing",2.45282163623874,,,
2023-01-01,"Core Services exc. Housing",2.48748609205761,,,
2023-02-01,"Core Services exc. Housing",2.48502795749175,,,
2023-03-01,"Core Services exc. Housing",2.35795050409274,,,
2023-04-01,"Core Services exc. Housing",2.35434399333196,,,
2023-05-01,"Core Services exc. Housing",2.32178796739427,,,
2023-06-01,"Core Services exc. Housing",2.23581396967286,,,
2023-07-01,"Core Services exc. Housing",2.31884220039377,,,
2023-08-01,"Core Services exc. Housing",2.10527289845212,,,
2023-09-01,"Core Services exc. Housing",2.10080946392162,,,
2023-10-01,"Core Services exc. Housing",1.90768124538664,,,
2023-11-01,"Core Services exc. Housing",1.81994424910451,,,
2023-12-01,"Core Services exc. Housing",1.77982170534142,,,
2024-01-01,"Core Services exc. Housing",1.95078502438297,,,
2024-02-01,"Core Services exc. Housing",1.87126058533075,,,
2024-03-01,"Core Services exc. Housing",1.96576025046434,,,
2024-04-01,"Core Services exc. Housing",1.89051770233663,,,
2024-05-01,"Core Services exc. Housing",1.81773935590031,,,
2024-06-01,"Core Services exc. Housing",1.78219313329268,,,
2024-07-01,"Core Services exc. Housing",1.75084965085408,,,
2024-08-01,"Core Services exc. Housing",1.81181606170801,,,
2024-09-01,"Core Services exc. Housing",1.7759540601497,,,
2024-10-01,"Core Services exc. Housing",1.93978690696908,,,
2024-11-01,"Core Services exc. Housing",1.92514049051328,,,
2024-12-01,"Core Services exc. Housing",1.95881198002454,,,
2025-01-01,"Core Services exc. Housing",1.70969387452363,,,
2025-02-01,"Core Services exc. Housing",1.88542214996679,,,
2025-03-01,"Core Services exc. Housing",1.70790289657577,,,
2025-04-01,"Core Services exc. Housing",1.61613158401341,,,
2025-05-01,"Core Services exc. Housing",1.6881089322386,,,
2025-06-01,"Core Services exc. Housing",1.6387137448705,,,
2025-07-01,"Core Services exc. Housing",1.69185987196584,,,
2025-08-01,"Core Services exc. Housing",1.75006901216423,,,
2025-09-01,"Core Services exc. Housing",1.66812558868608,,,
2025-10-01,"Core Services exc. Housing",1.64508481297331,"1.6","1.6",
2025-11-01,"Core Services exc. Housing",1.69305065601515,"1.7","1.7",
2026-04-01,"Core Services exc. Housing",1.11076532858671,"1.1","1.1",
2022-11-01,"Housing",1.10533664841238,,,
2022-12-01,"Housing",1.16875625457848,,,
2023-01-01,"Housing",1.20137295945953,,,
2023-02-01,"Housing",1.23681318829393,,,
2023-03-01,"Housing",1.23288244831693,,,
2023-04-01,"Housing",1.24058020810005,,,
2023-05-01,"Housing",1.2312300107816,,,
2023-06-01,"Housing",1.19157813016618,,,
2023-07-01,"Housing",1.17143385646506,,,
2023-08-01,"Housing",1.12246366713074,,,
2023-09-01,"Housing",1.08640582840897,,,
2023-10-01,"Housing",1.05325835669524,,,
2023-11-01,"Housing",1.03236490152914,,,
2023-12-01,"Housing",0.98617108718727,,,
2024-01-01,"Housing",0.949282551696129,,,
2024-02-01,"Housing",0.913715083009658,,,
2024-03-01,"Housing",0.908444932131123,,,
2024-04-01,"Housing",0.882357104563715,,,
2024-05-01,"Housing",0.870886705540619,,,
2024-06-01,"Housing",0.839817719947348,,,
2024-07-01,"Housing",0.823991096205361,,,
2024-08-01,"Housing",0.829606064575965,,,
2024-09-01,"Housing",0.8023424769096,,,
2024-10-01,"Housing",0.795618443521708,,,
2024-11-01,"Housing",0.756248257202888,,,
2024-12-01,"Housing",0.737949702150411,,,
2025-01-01,"Housing",0.715726537676373,,,
2025-02-01,"Housing",0.687924604764103,,,
2025-03-01,"Housing",0.678053967665533,,,
2025-04-01,"Housing",0.66928015459622,,,
2025-05-01,"Housing",0.644495095779701,,,
2025-06-01,"Housing",0.642123141248261,,,
2025-07-01,"Housing",0.623506991117152,,,
2025-08-01,"Housing",0.612395153633282,,,
2025-09-01,"Housing",0.581179501067979,,,
2025-10-01,"Housing",0.538111429037508,"0.5","0.5",
2025-11-01,"Housing",0.515971047920856,"0.5","0.5",
2026-04-01,"Housing",0.518172209221242,"0.5","0.5",
